RAJ2000,DEJ2000,redshift
133.481395,54.355165,0.045718
133.5086,54.483652,0.119237
133.454996,54.519534,0.114744
133.399246,54.588705,0.114453
133.513593,54.56044,0.098143
133.567715,54.609566,0.106227
133.698083,54.5762,0.045608
134.017757,54.736938,0.080384
133.96232,54.816732,0.117327
134.436844,55.073355,0.038275
134.658479,55.075128,0.115335
134.65253,55.098241,0.115156
134.702766,55.14913,0.087634
134.735017,55.224396,0.087321
134.683626,55.267597,0.086585
135.067335,55.263082,0.115615
134.935038,55.355572,0.090005
135.152699,55.376184,0.113697
135.102945,55.487334,0.066348
135.317438,55.633635,0.107932
135.335801,55.642907,0.111386
135.347808,55.62767,0.113923
135.502878,55.549834,0.113399
135.415683,55.622608,0.110217
135.375497,55.654704,0.115456
135.369706,55.659543,0.117708
135.390172,55.64554,0.117308
135.442739,55.683973,0.116342
135.40269,55.71227,0.117255
135.605764,55.609328,0.081325
135.580493,55.659932,0.08239
135.570243,55.751743,0.081425
136.339108,56.040488,0.091818
136.703099,56.316156,0.045422
136.830793,56.198909,0.10133
136.860997,56.208575,0.100828
137.137989,56.474205,0.102391
137.284835,56.548914,0.100756
137.26678,56.573262,0.1021
137.487945,56.691844,0.110316
137.360459,56.626805,0.103105
137.606556,56.661634,0.103279
137.728645,56.74975,0.106101
137.808328,56.732126,0.106089
137.963754,56.798361,0.119688
139.502784,57.507557,0.090853
141.056819,58.414065,0.098519
140.969279,58.331012,0.111751
141.959985,58.542924,0.029781
141.843395,58.698437,0.081796
143.578142,59.18532,0.046824
143.896289,59.347219,0.105089
144.908133,59.791365,0.047708
145.473052,60.014026,0.094674
146.461998,60.227735,0.093761
146.388933,60.382816,0.102037
146.421666,60.396688,0.102264
146.64464,60.357894,0.093862
147.000452,60.402545,0.093387
147.276829,60.491976,0.093182
148.002187,60.935592,0.09319
148.05507,60.974323,0.092614
148.550336,60.908102,0.112756
148.44684,61.008517,0.113139
148.449153,61.03647,0.113812
151.404076,59.986032,0.116404
152.129677,60.203328,0.072331
152.056342,60.480852,0.115425
150.572676,60.537664,0.114565
150.899556,60.696601,0.117489
150.840871,61.14532,0.07426
129.462877,49.052725,0.117341
129.862577,49.273763,0.118301
131.253821,50.354109,0.118596
131.179421,50.381649,0.117368
131.632878,50.756116,0.119015
131.807587,50.625733,0.115414
132.153668,50.910733,0.071592
132.45461,51.09398,0.044739
132.341191,51.067051,0.096292
132.489531,51.145144,0.073419
132.97313,51.505221,0.056837
132.954139,51.593923,0.090332
133.289659,51.594539,0.087161
133.330718,51.681633,0.105241
133.457236,51.878797,0.096664
133.545757,51.974755,0.090673
133.764108,52.051167,0.031938
134.167941,52.369138,0.097556
134.172183,52.371964,0.097377
134.335854,52.391224,0.099033
134.807277,52.605701,0.06288
134.844782,52.699752,0.113836
135.174277,52.903957,0.091401
135.175339,52.974218,0.098198
137.934199,54.268452,0.080712
137.96338,54.289913,0.081383
139.154038,54.931417,0.046684
139.697706,55.168776,0.044778
139.950078,55.44118,0.049146
141.683359,56.155344,0.119328
141.764364,56.262099,0.118529
141.963677,56.276711,0.119108
141.991455,56.270009,0.117583
141.99013,56.271328,0.117654
142.482861,56.448661,0.065708
142.776603,56.719752,0.110232
144.052111,57.192253,0.112388
145.076151,57.413725,0.083673
145.826627,57.813285,0.107934
146.394191,58.00577,0.042486
147.494525,58.376004,0.083639
151.547443,59.652918,0.116388
152.339649,60.04332,0.1168
153.178095,60.150296,0.071974
153.810994,60.2797,0.116628
154.075846,60.311842,0.03199
154.887099,60.518522,0.116257
155.324026,60.742786,0.11697
155.869028,60.931245,0.117456
157.266212,61.257242,0.043101
157.46694,61.270623,0.082495
157.789674,61.384449,0.082921
158.043934,61.392465,0.117136
158.395871,61.419309,0.115939
158.443547,61.474949,0.117032
158.502,61.500291,0.114529
158.638256,61.470516,0.116544
158.668649,61.453367,0.114287
158.733,61.423275,0.115263
158.874266,61.435272,0.115234
159.111014,61.662613,0.089012
159.297271,61.723967,0.082813
159.491157,61.640566,0.116007
160.207133,61.685371,0.115526
160.727286,61.969686,0.117435
160.763695,61.948251,0.117776
163.484439,62.445179,0.094892
163.824807,62.504939,0.095814
164.202099,62.418514,0.095444
164.681297,62.61804,0.082983
167.291976,62.94261,0.083143
169.346307,63.295185,0.045618
169.52572,63.145217,0.108892
169.851235,63.269717,0.109153
169.86103,63.24781,0.10888
170.064626,63.224395,0.109594
203.428807,62.950613,0.106385
203.680659,62.914247,0.103296
204.034833,62.732032,0.103622
204.178231,62.819891,0.067832
204.477914,62.737384,0.065874
206.909331,62.292067,0.117146
207.652136,62.078655,0.07467
208.49096,61.99632,0.072909
208.53995,61.943412,0.101579
209.018937,61.93734,0.086037
212.501725,61.213261,0.119827
215.88825,60.393237,0.060183
216.386828,60.198515,0.114178
217.09022,60.067655,0.112517
217.790569,59.842932,0.059892
218.164181,59.780549,0.112761
218.570747,59.658193,0.029005
220.855917,58.887747,0.039069
222.172391,58.485936,0.068002
222.223257,58.499076,0.068694
222.789439,58.393715,0.068248
223.293563,58.16551,0.112369
223.149086,58.210672,0.10574
223.416971,58.174249,0.112502
224.037968,57.967434,0.113359
227.740214,56.364131,0.102361
228.046361,56.31119,0.045798
228.972034,55.942447,0.10291
230.362582,55.210542,0.113559
230.334638,55.119442,0.099755
230.563442,55.036464,0.101915
230.811806,54.991287,0.113676
231.498784,54.706828,0.102391
231.721291,54.608474,0.109841
231.928255,54.421377,0.115539
231.9776,54.269866,0.039927
232.161526,54.325137,0.07388
232.120907,54.2207,0.102479
233.281306,53.808383,0.109133
234.625787,53.095744,0.103862
234.671518,53.056393,0.085363
236.021045,52.269878,0.110451
237.123244,51.551963,0.066045
237.449405,51.35086,0.06829
237.459276,51.333568,0.067523
238.367446,50.762754,0.106567
260.31752,26.479882,0.107107
260.366861,26.491187,0.106353
260.389165,26.451478,0.103701
260.559672,26.341408,0.103461
260.505232,26.221302,0.105063
117.687734,38.791408,0.118986
118.061985,39.211163,0.096298
118.323884,39.540653,0.096292
118.369786,39.576243,0.095068
118.746407,40.050478,0.096434
118.774517,40.041302,0.068776
119.552641,40.734171,0.073409
119.555568,40.821731,0.074461
119.513263,40.86799,0.075731
121.603988,42.858015,0.098736
121.598893,42.880585,0.100898
121.56455,42.924818,0.103004
121.652291,42.95706,0.099477
123.197905,44.357382,0.023049
123.259368,44.531685,0.059187
123.303585,44.571545,0.074713
123.722466,44.852125,0.085307
123.830578,45.059207,0.058701
124.357038,45.5812,0.043211
124.944002,46.120931,0.054341
127.093514,47.979533,0.097186
127.871988,48.626138,0.053127
128.494992,49.022414,0.10604
128.61283,49.11467,0.075346
129.024103,49.541054,0.095519
129.06961,49.565318,0.095039
129.405743,49.779076,0.096418
129.87118,50.156527,0.117204
130.13793,50.210366,0.117447
130.291715,50.309551,0.118277
130.88919,50.615449,0.0558
130.949457,50.812169,0.096893
130.965517,50.857053,0.1166
131.212936,50.957789,0.115245
131.425559,51.059534,0.097236
131.486238,51.118382,0.079944
131.42643,51.212213,0.097813
131.45611,51.238882,0.097501
131.759151,51.367172,0.096913
132.11939,51.508515,0.119284
131.992764,51.601103,0.048278
132.291494,51.556698,0.090337
132.380643,51.643811,0.09004
132.460267,51.673366,0.097127
132.42134,51.773923,0.11445
132.569859,51.76963,0.08998
132.400174,51.852711,0.114348
132.544715,51.775463,0.088798
132.80063,51.908452,0.114336
132.770673,51.948068,0.107532
132.870704,51.994355,0.087714
132.895225,52.001148,0.0878
132.921875,51.989883,0.087655
133.291459,52.218357,0.087966
133.479559,52.400508,0.030635
133.470576,52.503186,0.072193
133.69598,52.47243,0.056976
133.787546,52.470503,0.058364
133.653927,52.581485,0.063366
134.084834,52.671999,0.0632
134.027717,52.746937,0.0628
134.567952,52.924918,0.058278
134.644717,53.116986,0.051908
134.51193,53.091191,0.094436
134.587727,53.120031,0.094813
134.773122,53.231118,0.092314
134.969048,53.263332,0.092829
135.234943,53.367334,0.061752
135.256764,53.522284,0.083647
135.430855,53.459581,0.109765
135.841749,53.657136,0.063887
135.725882,53.630195,0.094909
135.698819,53.770448,0.112683
135.901164,53.923959,0.083686
136.057518,53.937792,0.097729
136.224215,54.056084,0.084829
136.442989,54.025593,0.064916
136.528288,54.225312,0.082528
137.379559,54.732868,0.075473
138.159117,55.045785,0.104382
139.399889,55.595354,0.099763
139.571099,55.682623,0.047433
139.725756,55.714056,0.048004
139.584737,55.814798,0.099513
140.015027,55.931231,0.045643
142.266604,56.798111,0.109906
142.974576,57.25208,0.112664
144.485057,57.706782,0.11394
144.490247,57.875832,0.11405
145.945258,58.269584,0.101646
145.890678,58.316927,0.101635
147.446991,58.895705,0.115699
201.943754,63.476767,0.103257
204.234398,63.081697,0.105616
204.370837,63.170525,0.104878
204.404705,63.207671,0.104263
205.85341,62.848324,0.116014
205.910078,62.828012,0.11511
206.625965,62.765224,0.116557
207.393612,62.674204,0.115582
210.096931,62.122784,0.078748
213.399406,61.54611,0.119926
216.24508,60.706807,0.068227
216.309138,60.6991,0.067382
216.291836,60.679419,0.068836
216.624506,60.719969,0.11055
217.289173,60.558832,0.112982
217.252566,60.525047,0.113309
